target1,target2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,None,0,18,18,24,219.53013270799784,,,,,,,,,,,,,,219.52385029200013,219.53013270799784,220.5182675420001,220.51828049999676,220.768290582997,220.81131012499827,220.9177909579994,220.96110095800032,221.101688499999,221.10170558299797,221.12816137499976,221.12816137499976,221.12816137499976,221.12816137499976,224.4668230419993,0,0,,,1,[3.3553532919977442],[3.355357249998633],220.54415949999748,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,19,19,36,224.47768212499795,,,,,,,,,,,,,,224.46721174999766,224.47768212499795,225.46132062499964,225.46133245799865,225.71127254199746,225.7505178749998,225.86123099999895,225.9009778749969,226.0447556250001,226.04476974999852,226.0696297079994,226.0696297079994,226.0696297079994,226.0696297079994,244.80011699999886,0,0,cat,,1,[18.746806582999852],[18.746810665998055],225.47280254199723,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,20,20,41,244.8115818749975,,,,,,,,,,,,,,244.80050574999768,244.8115818749975,245.79513745799704,245.79514816699884,246.0451829579979,246.08500812499915,246.1951995419986,246.23476545799713,246.3786302499975,246.378643,246.40092058299706,246.40092058299706,246.40092058299706,246.40092058299706,248.29197916699923,0,0,,,1,[1.904878417000873],[1.9048827090009581],245.8060310419969,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,21,21,40,248.2984044579971,,,,,,,,,,,,,,248.29239179199794,248.2984044579971,249.285859874999,249.28587366699867,249.53517754199856,249.57852983299745,249.6855866249971,249.7285426669987,249.86891833299887,249.8689349999986,249.89403924999715,249.89403924999715,249.89403924999715,249.89403924999715,258.1182603749985,0,0,bag,,1,[8.239249124999333],[8.239253332998487],249.29741512499822,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,22,22,22,258.12800783299826,,,,,,,,,,,,,,258.1186517919996,258.12800783299826,259.11225866699897,259.11226783299935,259.36217116699845,259.40187341699857,259.51189641699966,259.551530875,259.69554891699954,259.6955613329992,259.7183995419982,259.7183995419982,259.7183995419982,259.7183995419982,266.10156941699825,0,0,cat,,1,[6.397588374999032],[6.397592290999455],259.1223121669973,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,23,23,31,266.1120685829992,,,,,,,,,,,,,,266.10196316699876,266.1120685829992,267.09567049999896,267.09567958299886,267.3457188329994,267.38550012499763,267.49563708299684,267.53520520799793,267.6791368749982,267.6791496249971,267.7018592919994,267.7018592919994,267.7018592919994,267.7018592919994,268.42931029199826,0,0,,,1,[0.7415318329985894],[0.741535915996792],267.10572474999935,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,24,24,47,268.43634579199716,,,,,,,,,,,,,,268.4297428329992,268.43634579199716,269.4193306669986,269.41934158299773,269.6693463329975,269.7124249579974,269.81964058299855,269.86241999999766,270.0036427499981,270.00365916699957,270.0318839579995,270.0318839579995,270.0318839579995,270.0318839579995,270.92067812499954,0,0,,,1,[0.90256354200028],[0.9025677499994345],269.42925316699984,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
bird, rain,0,25,25,0,270.92778133299726,,,,,,,,,,,,,,270.92107708299955,270.92778133299726,271.912836083,271.9128449999989,272.16931541699887,272.2127299999993,272.3189418749971,272.36246758299967,272.50291158300024,272.5029281669995,272.5270947079989,272.5270947079989,272.5270947079989,272.5270947079989,286.89188662499873,0,0,,rain,1,[14.378923750002286],[14.378927292000299],271.92427512499853,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,26,26,15,286.8988009169989,,,,,,,,,,,,,,286.8922821669985,286.8988009169989,287.88711045799937,287.88712216699787,288.136437707999,288.1796002919982,288.2862702079983,288.32952083299824,288.47040258299967,288.4704165419971,288.4939057079973,288.4939057079973,288.4939057079973,288.4939057079973,293.52549066699794,0,0,bird,,1,[5.04545033300019],[5.045453791000909],287.8986966249977,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,27,27,46,293.53240274999916,,,,,,,,,,,,,,293.525885791998,293.53240274999916,294.52000908300033,294.5200222079984,294.76994062499944,294.81311787499726,294.9205316669977,294.9707138329977,295.10358979199736,295.10360554199724,295.1281296249981,295.1281296249981,295.1281296249981,295.1281296249981,304.1763124169993,0,0,bird,,1,[9.062699583999347],[9.062703042000066],294.5296454169984,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,28,28,23,304.1830817919981,,,,,,,,,,,,,,304.1767173749977,304.1830817919981,305.17068791699785,305.17070045799846,305.4197581249973,305.4633302919974,305.5702142919981,305.6134165000003,305.75394458299706,305.7539599579977,305.7777607079988,305.7777607079988,305.7777607079988,305.7777607079988,308.2041649169987,0,0,,,1,[2.4402877499996976],[2.440291499999148],305.1804601249969,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,29,29,48,308.213052957999,,,,,,,,,,,,,,308.2045622079968,308.213052957999,309.19680954199794,309.19681916699847,309.4531425419991,309.49674541700006,309.6038394999996,309.6464789999991,309.78020954199746,309.78022087499994,309.8018634170003,309.8018634170003,309.8018634170003,309.8018634170003,314.5265284579982,0,0,,rain,1,[4.737791790998017],[4.737795332999667],309.2067357499982,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,30,30,27,314.5333489579971,,,,,,,,,,,,,,314.52692433300035,314.5333489579971,315.521041582997,315.5210541669985,315.7704892080001,315.8138285419991,315.92066924999745,315.9636297500001,316.10450395799853,316.1045181669979,316.1275511249987,316.1275511249987,316.1275511249987,316.1275511249987,317.76080358299805,0,0,,,1,[1.646749291998276],[1.6467529999972612],315.54644904199813,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
card, loan,0,31,31,6,317.76813095800026,,,,,,,,,,,,,,317.7611942919975,317.76813095800026,318.7541724579969,318.75418416699904,319.0033341669987,319.04685679199974,319.15410474999953,319.19693633299903,319.3372495829972,319.33726504199876,319.36167424999803,319.36167424999803,319.36167424999803,319.36167424999803,319.86424712499866,0,0,,,1,[0.5167819160014915],[0.5167857080014073],318.7636099579977,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
cart, loss,0,32,32,8,319.8716131669971,,,,,,,,,,,,,,319.8646384999993,319.8716131669971,320.8543376669986,320.854346666998,321.1136579169979,321.1545280829996,321.2636998329981,321.3040727919979,321.43775987499976,321.4377741249991,321.4672223749985,321.4672223749985,321.4672223749985,321.4672223749985,322.651079416999,0,0,,,1,[1.1970365830020455],[1.1970403750019614],320.8798594580003,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
,,,,,,322.6636862919986,,,,,,,,,,,,,,322.6514694999969,322.6636862919986,323.6470887919968,323.6470968329995,323.8970042499968,323.9361767499977,324.04704995799693,324.0867824169982,324.2305409170003,324.2305519169968,324.2525747079999,324.2525747079999,324.2525747079999,324.2525747079999,,,,,,,,,323.6566747079996,,,,,,,,
